wSymbolwNamewPrice (Intraday)
0wBTC-USDwBitcoin USDw40,157.87
1wETH-USDwEthereum USDw2,758.45
2wUSDT-USDwTether USDw1.0006
3wBNB-USDwBinance Coin USDw401.29
4wUSDC-USDwUSD Coin USDw0.999761
5wXRP-USDwXRP USDw0.840947
6wADA-USDwCardano USDw1.0004
7wHEX-USDwHEX USDw0.177450
8wSOL-USDwSolana USDw91.34
9wAVAX-USDwAvalanche USDw84.67
10wLUNA1-USDwTerra USDw51.32
11wDOGE-USDwDogecoin USDw0.142258
12wBUSD-USDwBinance USD USDw1.0010
13wDOT-USDwPolkadot USDw17.89
14wSHIB-USDwSHIBA INU USDw0.000028
15wMATIC-USDwPolygon USDw1.6186
16wUST-USDwTerraUSD USDw1.0042
17wCRO-USDwCrypto.com Coin USDw0.439154
18wWBTC-USDwWrapped Bitcoin USDw40,087.17
19wDAI-USDwDai USDw1.0002
20wLTC-USDwLitecoin USDw116.43
21wATOM-USDwCosmos USDw26.77
22wLINK-USDwChainlink USDw15.44
23wTRX-USDwTRON USDw0.064228
24wNEAR-USDwNEAR Protocol USDw10.19
