,Symbol,Name,Price (Intraday)
0,BTC-USD,Bitcoin USD,"40,065.84"
1,ETH-USD,Ethereum USD,"2,753.17"
2,USDT-USD,Tether USD,1.0005
3,BNB-USD,Binance Coin USD,398.96
4,USDC-USD,USD Coin USD,0.999572
5,XRP-USD,XRP USD,0.837099
6,ADA-USD,Cardano USD,0.993013
7,HEX-USD,HEX USD,0.177925
8,SOL-USD,Solana USD,90.65
9,AVAX-USD,Avalanche USD,84.13
10,LUNA1-USD,Terra USD,50.94
11,DOGE-USD,Dogecoin USD,0.141284
12,BUSD-USD,Binance USD USD,1.0008
13,DOT-USD,Polkadot USD,17.79
14,SHIB-USD,SHIBA INU USD,0.000028
15,MATIC-USD,Polygon USD,1.6157
16,UST-USD,TerraUSD USD,1.0035
17,CRO-USD,Crypto.com Coin USD,0.438910
18,WBTC-USD,Wrapped Bitcoin USD,"40,007.42"
19,DAI-USD,Dai USD,0.999518
20,LTC-USD,Litecoin USD,115.89
21,ATOM-USD,Cosmos USD,26.62
22,LINK-USD,Chainlink USD,15.30
23,TRX-USD,TRON USD,0.063881
24,NEAR-USD,NEAR Protocol USD,10.15
